### - Time: 430 Res: SAT
[1, 5]: aipg(2, t) <= 1
[14, 14]: aipg(0, t) == 1

### - Time: 436 Res: SAT
[13, 13]: aipg(1, t) == 1
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(1, t) == 1

### - Time: 437 Res: SAT
[13, 13]: aipg(1, t) == 1
[14, 14]: aipg(2, t) == 1

### - Time: 519 Res: SAT
[12, 13]: aipg(1, t) == 1
[14, 14]: aipg(2, t) == 1

### - Time: 514 Res: SAT
[12, 13]: aipg(1, t) == 1
[14, 14]: aipg(0, t) == 1

### - Time: 432 Res: SAT
[12, 12]: aipg(1, t) == 1
[13, 14]: aipg(0, t) == 1

### - Time: 516 Res: SAT
[12, 12]: aipg(1, t) == 1
[13, 13]: aipg(3, t) >= 1
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(0, t) == 1

### - Time: 518 Res: SAT
[12, 12]: aipg(1, t) == 1
[13, 13]: aipg(3, t) >= 1
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(3, t) >= 1

### - Time: 518 Res: SAT
[12, 13]: aipg(1, t) == 1
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(3, t) == 1

### - Time: 432 Res: SAT
[3, 7]: aipg(0, t) <= 1
[12, 13]: aipg(1, t) == 1
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(3, t) == 1

### - Time: 513 Res: SAT
[1, 3]: aipg(2, t) <= 1
[4, 5]: aipg(0, t) <= 4t
[4, 5]: aipg(0, t) <= 1
[12, 13]: aipg(1, t) == 1
[14, 14]: aipg(3, t) == 1

### - Time: 430 Res: SAT
[1, 3]: aipg(2, t) <= 1
[4, 5]: aipg(0, t) <= 1
[4, 5]: aipg(2, t) <= 1
[6, 11]: aipg(2, t) <= 1
[12, 13]: aipg(2, t) <= 1
[12, 13]: aipg(1, t) == 1
[14, 14]: aipg(3, t) == 1

### - Time: 429 Res: SAT
[1, 5]: aipg(2, t) <= 1
[6, 7]: aipg(2, t) <= 1
[8, 12]: cenq(2, t) < 2t
[8, 12]: aipg(2, t) <= 1
[13, 13]: aipg(1, t) == 1
[13, 13]: cenq(2, t) < 2t
[14, 14]: aipg(3, t) == 1
[14, 14]: cenq(2, t) < 2t

### - Time: 458 Res: SAT
[1, 5]: aipg(2, t) <= 1
[6, 9]: aipg(2, t) <= 1
[10, 11]: aipg(2, t) <= 1
[12, 12]: aipg(2, t) <= 1
[12, 12]: aipg(1, t) == 1
[13, 13]: aipg(1, t) == 1
[13, 13]: cenq(2, t) < 2t
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(3, t) == 1

### - Time: 463 Res: SAT
[1, 5]: aipg(2, t) <= 1
[6, 9]: aipg(2, t) <= 1
[10, 11]: aipg(2, t) <= 1
[12, 12]: aipg(2, t) <= 1
[12, 12]: aipg(1, t) == 1
[13, 13]: aipg(1, t) == 1
[13, 13]: cenq(2, t) < 2t
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(2, t) == 1

### - Time: 434 Res: SAT
[1, 5]: aipg(2, t) <= 1
[6, 9]: aipg(2, t) <= 1
[10, 11]: aipg(2, t) <= 1
[12, 12]: aipg(3, t) <= 1
[12, 12]: aipg(1, t) == 1
[13, 13]: aipg(1, t) == 1
[13, 13]: cenq(2, t) < 2t
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(2, t) == 1

### - Time: 488 Res: SAT
[1, 5]: cenq(4, t) <= 3
[1, 5]: aipg(2, t) <= 1
[1, 6]: cenq(4, t) <= 3
[6, 6]: aipg(2, t) <= 1
[7, 9]: aipg(2, t) <= 1
[10, 11]: aipg(2, t) <= 1
[12, 12]: aipg(3, t) <= 1
[13, 13]: aipg(0, t) == 1
[13, 13]: cenq(2, t) < 2t
[14, 14]: aipg(3, t) == 1

### - Time: 435 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 10]: aipg(2, t) <= 1
[10, 10]: aipg(4, t) <= 2
[11, 12]: aipg(2, t) <= 1
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(2, t) == 1

### - Time: 523 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 12]: aipg(4, t) <= 2
[13, 13]: aipg(4, t) <= 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(2, t) == 1
[14, 14]: aipg(4, t) <= 2

### - Time: 520 Res: SAT
[1, 9]: aipg(2, t) <= 1
[11, 12]: aipg(4, t) <= 2
[13, 13]: aipg(0, t) == 1
[13, 13]: aipg(2, t) == 1
[14, 14]: aipg(2, t) == 1

### - Time: 429 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[13, 13]: aipg(2, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 511 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 514 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 429 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 515 Res: SAT
[1, 9]: aipg(2, t) <= 1
[10, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 516 Res: SAT
[1, 8]: aipg(2, t) <= 1
[9, 12]: aipg(2, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 432 Res: SAT
[1, 4]: aipg(2, t) <= 1
[1, 4]: cenq(4, t) <= 2
[5, 5]: aipg(2, t) <= 1
[6, 8]: aipg(2, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 519 Res: SAT
[1, 4]: cenq(4, t) <= 2
[1, 4]: aipg(2, t) <= 1
[5, 5]: aipg(3, t) <= 1
[6, 8]: aipg(2, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 431 Res: SAT
[1, 4]: cenq(4, t) <= 2
[1, 4]: aipg(2, t) <= 1
[5, 5]: aipg(3, t) <= 1
[6, 8]: aipg(2, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(0, t) == 1
[14, 14]: aipg(2, t) >= 1
[14, 14]: aipg(4, t) == 2

### - Time: 518 Res: SAT
[1, 4]: cenq(4, t) <= 2
[1, 4]: aipg(2, t) <= 1
[5, 5]: aipg(3, t) <= 1
[6, 8]: aipg(2, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(2, t) >= 1
[14, 14]: aipg(4, t) == 2

### - Time: 2144 Res: SAT
[1, 4]: cenq(4, t) <= 2
[1, 4]: aipg(2, t) <= 1
[6, 8]: aipg(4, t) == 2
[6, 8]: aipg(2, t) <= 1
[9, 12]: aipg(4, t) == 2
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(3, t) == 1
[14, 14]: aipg(2, t) >= 1

### - Time: 428 Res: SAT
[1, 4]: cenq(4, t) <= 0
[6, 8]: aipg(4, t) == 2
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(2, t) >= 1

### - Time: 431 Res: SAT
[5, 12]: aipg(4, t) == 2
[13, 14]: aipg(3, t) == 1

### - Time: 426 Res: SAT
[5, 12]: aipg(4, t) == 2
[13, 14]: aipg(0, t) == 1

### - Time: 426 Res: SAT
[5, 12]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 429 Res: SAT
[1, 5]: aipg(1, t) <= 1
[6, 6]: aipg(4, t) >= 2
[6, 6]: aipg(1, t) <= 1
[7, 10]: aipg(4, t) >= 2
[7, 10]: aipg(1, t) <= 1
[11, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 431 Res: SAT
[1, 5]: aipg(1, t) <= 1
[6, 6]: aipg(4, t) <= 2
[7, 10]: aipg(4, t) >= 2
[7, 10]: aipg(1, t) <= 1
[11, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 431 Res: SAT
[1, 5]: aipg(1, t) <= 1
[6, 6]: aipg(4, t) <= 2
[7, 9]: aipg(1, t) <= 1
[7, 9]: aipg(4, t) >= 2
[10, 10]: aipg(4, t) == 2
[10, 10]: aipg(1, t) <= 1
[10, 10]: aipg(4, t) >= 2
[11, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 423 Res: SAT
[1, 5]: aipg(1, t) <= 1
[6, 6]: aipg(4, t) <= 2
[7, 9]: aipg(4, t) >= 2
[7, 9]: aipg(1, t) <= 1
[10, 10]: aipg(1, t) <= 1
[10, 10]: aipg(4, t) >= 2
[10, 10]: aipg(4, t) == 2
[11, 13]: aipg(4, t) == 2
[14, 14]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 430 Res: SAT
[1, 5]: aipg(1, t) <= 1
[7, 9]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[10, 14]: cenq(4, t) >= 2
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(4, t) == 2
[14, 14]: cenq(4, t) >= 2

### - Time: 447 Res: SAT
[1, 5]: aipg(1, t) <= 1
[7, 9]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[11, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(4, t) == 2

### - Time: 431 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 7]: aipg(1, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[8, 9]: aipg(4, t) >= 2
[8, 14]: cenq(4, t) >= 2
[11, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 513 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 7]: aipg(1, t) <= 1
[7, 14]: cenq(4, t) >= 2
[8, 10]: aipg(1, t) <= 1
[11, 13]: aipg(4, t) == 2
[11, 13]: aipg(1, t) <= 1
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(1, t) <= 1

### - Time: 431 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[11, 12]: aipg(1, t) <= 1
[11, 12]: aipg(4, t) == 2
[13, 13]: aipg(1, t) <= 1
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(1, t) == 1
[14, 14]: aipg(1, t) == 1

### - Time: 436 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[10, 10]: cenq(3, t) < 2t
[11, 11]: cenq(3, t) < 2t
[11, 11]: aipg(4, t) == 2
[12, 12]: aipg(1, t) == 1
[12, 12]: aipg(4, t) == 2
[13, 14]: aipg(1, t) == 1

### - Time: 440 Res: SAT
[1, 5]: aipg(1, t) <= 1
[6, 6]: aipg(3, t) <= 1
[6, 6]: aipg(1, t) <= 1
[7, 7]: aipg(3, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[8, 11]: aipg(3, t) <= 1
[12, 12]: aipg(3, t) <= 1
[12, 12]: aipg(1, t) == 1
[13, 13]: aipg(3, t) <= 1

### - Time: 437 Res: SAT
[1, 5]: aipg(1, t) <= 1
[6, 6]: aipg(3, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 14]: cenq(4, t) >= 2
[8, 11]: aipg(0, t) <= 1
[12, 12]: aipg(1, t) == 1
[12, 12]: aipg(3, t) <= 1

### - Time: 430 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 7]: aipg(4, t) >= 2
[8, 9]: aipg(0, t) <= 1
[10, 11]: aipg(0, t) <= 1
[10, 14]: cenq(4, t) >= 3
[12, 14]: cenq(4, t) >= 3
[12, 14]: aipg(1, t) == 1

### - Time: 450 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 7]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 11]: aipg(0, t) <= 1
[10, 14]: cenq(4, t) >= 3
[12, 14]: cenq(4, t) >= 3
[13, 14]: cenq(4, t) >= 3
[13, 14]: cenq(4, t) >= 3
[13, 14]: aipg(1, t) == 1

### - Time: 515 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[13, 13]: aipg(1, t) == 1
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(1, t) == 1

### - Time: 425 Res: SAT
[1, 6]: aipg(1, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 12]: aipg(4, t) == 2
[9, 14]: cenq(4, t) >= 3
[13, 13]: aipg(4, t) >= 2
[13, 13]: aipg(1, t) == 1
[14, 14]: aipg(1, t) == 1

### - Time: 517 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[11, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 492 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[11, 11]: aipg(4, t) >= 2
[11, 11]: aipg(4, t) == 2
[12, 13]: aipg(4, t) == 2

### - Time: 524 Res: SAT
[1, 5]: cenq(4, t) <= 1
[1, 6]: cenq(4, t) <= 1
[6, 6]: aipg(2, t) <= 1
[7, 8]: aipg(2, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 10]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3

### - Time: 524 Res: SAT
[1, 5]: cenq(4, t) <= 1
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[7, 8]: aipg(3, t) <= 1
[9, 10]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3

### - Time: 520 Res: SAT
[1, 5]: cenq(4, t) <= 1
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[7, 8]: aipg(3, t) <= 1
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 10]: aipg(4, t) >= 2
[10, 10]: aipg(0, t) <= 1
[10, 14]: cenq(4, t) >= 3
[11, 13]: aipg(0, t) <= 1

### - Time: 496 Res: SAT
[1, 5]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 9]: aipg(0, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 13]: aipg(0, t) <= 1

### - Time: 524 Res: SAT
[1, 5]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 9]: aipg(0, t) <= 1
[9, 14]: cenq(4, t) >= 3
[13, 14]: aipg(0, t) == 1

### - Time: 525 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[13, 14]: aipg(2, t) == 1

### - Time: 438 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[13, 13]: aipg(2, t) == 1
[14, 14]: SUM_[q in {1, 4, }] cenq(q ,t) < 2t
[14, 14]: aipg(2, t) == 1

### - Time: 524 Res: SAT
[1, 3]: aipg(4, t) == 0
[1, 3]: cenq(4, t) <= 1
[1, 6]: cenq(4, t) <= 1
[7, 8]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[13, 13]: aipg(2, t) == 1
[14, 14]: SUM_[q in {1, 4, }] cenq(q ,t) < 2t

### - Time: 432 Res: SAT
[1, 2]: aipg(4, t) == 0
[1, 5]: cenq(4, t) <= 1
[1, 6]: cenq(4, t) <= 1
[6, 6]: aipg(4, t) >= 2
[7, 8]: aipg(4, t) >= 2
[7, 8]: aipg(4, t) >= 2
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3

### - Time: 433 Res: SAT
[1, 4]: cenq(4, t) <= 1
[3, 4]: aipg(4, t) <= 0
[7, 8]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[11, 12]: cenq(1, t) < 2t
[11, 14]: cenq(4, t) >= 3
[13, 14]: cenq(4, t) >= 3

### - Time: 432 Res: SAT
[1, 4]: cenq(4, t) <= 1
[3, 4]: aipg(4, t) <= 0
[7, 8]: aipg(4, t) >= 2
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 14]: cenq(4, t) >= 3
[11, 12]: cenq(1, t) < 2t

### - Time: 432 Res: SAT
[1, 4]: cenq(4, t) <= 1
[3, 4]: aipg(4, t) <= t
[6, 6]: cenq(1, t) < 2t
[7, 8]: cenq(1, t) < 2t
[7, 8]: aipg(4, t) >= 2
[9, 9]: aipg(4, t) >= 2
[9, 9]: cenq(1, t) < 2t
[9, 14]: cenq(4, t) >= 3
[10, 14]: cenq(1, t) < 2t

### - Time: 489 Res: SAT
[1, 2]: cenq(4, t) <= 1
[1, 4]: cenq(4, t) <= 1
[1, 6]: cenq(4, t) <= 1
[3, 4]: aipg(4, t) <= t
[7, 8]: cenq(1, t) < 2t
[7, 8]: aipg(4, t) >= 2
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3

### - Time: 431 Res: SAT
[1, 6]: cenq(4, t) <= 1
[1, 6]: aipg(2, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 7]: aipg(2, t) <= 1
[8, 8]: aipg(2, t) <= 1
[8, 8]: cenq(1, t) <= 2t
[9, 9]: aipg(4, t) >= 2
[9, 9]: aipg(2, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 10]: aipg(2, t) <= 1

### - Time: 500 Res: SAT
[1, 6]: cenq(4, t) <= 1
[1, 6]: aipg(2, t) <= 1
[7, 7]: aipg(2, t) <= 1
[7, 7]: aipg(4, t) >= 2
[8, 8]: aipg(2, t) <= 1
[8, 8]: cenq(1, t) <= 2t
[9, 9]: aipg(4, t) >= 2
[9, 9]: aipg(2, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 10]: aipg(0, t) <= 1

### - Time: 520 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 7]: aipg(4, t) >= 2
[7, 7]: aipg(2, t) <= 1
[8, 8]: cenq(1, t) <= 2t
[8, 8]: aipg(2, t) <= 1
[9, 9]: aipg(2, t) <= 1
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 10]: aipg(3, t) <= 1

### - Time: 519 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 7]: aipg(4, t) >= 2
[8, 8]: cenq(1, t) <= 2t
[9, 9]: aipg(2, t) <= 1
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 14]: aipg(3, t) <= 1

### - Time: 428 Res: SAT
[1, 6]: cenq(4, t) <= 1
[7, 7]: aipg(4, t) >= 2
[8, 8]: cenq(1, t) <= 2t
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 14]: aipg(2, t) <= 1

### - Time: 430 Res: SAT
[1, 6]: cenq(4, t) <= 1
[8, 8]: aipg(4, t) >= 2
[8, 8]: cenq(1, t) <= 2t
[9, 9]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[9, 9]: aipg(4, t) >= 2
[9, 14]: cenq(4, t) >= 3
[10, 13]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t

### - Time: 433 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 12]: aipg(4, t) >= 2
[10, 12]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(1, t) >= 1
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(4, t) >= 2

### - Time: 518 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 12]: aipg(4, t) >= 2
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(0, t) >= 1

### - Time: 516 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 12]: aipg(4, t) >= 2
[13, 14]: aipg(0, t) == 1
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t

### - Time: 429 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 12]: aipg(4, t) == 2
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(0, t) == 1
[13, 14]: cenq(4, t) >= 4

### - Time: 510 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 12]: aipg(4, t) == 2
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(0, t) == 1
[13, 14]: cenq(4, t) >= 5

### - Time: 431 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 14]: cenq(4, t) >= 3
[10, 12]: aipg(4, t) == 2
[13, 14]: cenq(4, t) >= 5
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(4, t) == 2

### - Time: 428 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: cenq(4, t) >= 5
[13, 14]: aipg(4, t) == 2

### - Time: 435 Res: SAT
[1, 6]: cenq(4, t) <= 1
[9, 12]: aipg(4, t) == 2
[13, 14]: cenq(4, t) == 5
[13, 14]: SUM_[q in {1, 4, }] cenq(q ,t) <= 2t
[13, 14]: aipg(4, t) == 2

### - Time: 3647 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2

### - Time: 426 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) <= 1

### - Time: 425 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(4, t) == 2
[13, 13]: aipg(4, t) == 2
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(1, t) == 1

### - Time: 510 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(2, t) <= 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(1, t) == 1

### - Time: 507 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[13, 13]: aipg(2, t) <= 1
[14, 14]: aipg(0, t) == 1

### - Time: 505 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(2, t) >= 1
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) == 2
[14, 14]: aipg(0, t) == 1

### - Time: 481 Res: SAT
[1, 8]: cenq(4, t) <= 2
[9, 12]: aipg(2, t) <= 1
[13, 13]: aipg(4, t) == 2
