### - Time: 200 Res: SAT
[11, 14]: aipg(1, t) == 1
### - Time: 200 Res: SAT
[4, 7]: aipg(4, t) >= 4
[10, 11]: aipg(4, t) >= 2
[12, 14]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) >= 2

### - Time: 252 Res: SAT
[4, 7]: aipg(4, t) >= 4
[8, 9]: aipg(1, t) <= 1
[10, 11]: aipg(4, t) >= 2
[10, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) >= 2
[12, 14]: aipg(1, t) <= 1

### - Time: 247 Res: SAT
[4, 7]: aipg(4, t) >= 4
[8, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 249 Res: SAT
[2, 3]: aipg(1, t) <= 1
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(1, t) <= 1
[8, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 251 Res: SAT
[1, 3]: cenq(4, t) <= 3
[1, 7]: cenq(4, t) <= 3
[1, 9]: cenq(4, t) <= 3
[4, 7]: aipg(1, t) <= 1
[4, 7]: aipg(4, t) >= 4
[8, 9]: aipg(1, t) <= 1
[10, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 254 Res: SAT
[1, 3]: cenq(4, t) <= 3
[1, 7]: cenq(4, t) <= 3
[1, 9]: cenq(4, t) <= 3
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(3, t) <= 1
[8, 9]: aipg(1, t) <= 1
[10, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 250 Res: SAT
[4, 7]: aipg(2, t) <= 1
[4, 7]: aipg(4, t) >= 4
[8, 9]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 197 Res: SAT
[4, 7]: aipg(2, t) <= 1
[4, 7]: aipg(4, t) >= 4
[8, 9]: aipg(1, t) <= 1
[10, 10]: aipg(1, t) <= 1
[10, 10]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[11, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 247 Res: SAT
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(2, t) <= 1
[8, 8]: aipg(1, t) <= 1
[9, 9]: aipg(1, t) <= 1
[9, 9]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[10, 10]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[10, 10]: aipg(1, t) <= 1
[11, 11]: aipg(1, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 244 Res: SAT
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(2, t) <= 1
[4, 7]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[8, 8]: aipg(1, t) <= 1
[9, 9]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[9, 9]: aipg(1, t) <= 1
[10, 10]: SUM_[q in {0, 1, 4, }] cenq(q ,t) <= 5t
[12, 14]: aipg(4, t) == 2

### - Time: 201 Res: SAT
[4, 7]: aipg(2, t) <= 1
[4, 7]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) <= 5t
[4, 7]: aipg(4, t) >= 4
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) < 5t
[8, 8]: aipg(1, t) <= 1
[9, 9]: SUM_[q in {0, 1, 4, }] cenq(q ,t) <= 5t
[9, 9]: aipg(1, t) <= 1
[10, 10]: SUM_[q in {0, 1, 4, }] cenq(q ,t) <= 5t
[12, 14]: aipg(4, t) == 2

### - Time: 200 Res: SAT
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(2, t) <= 1
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) < 5t
[9, 11]: aipg(2, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 244 Res: SAT
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(2, t) <= 1
[8, 8]: aipg(2, t) <= 1
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) < 5t
[9, 11]: aipg(2, t) <= 1
[9, 11]: aipg(2, t) <= 1
[12, 12]: aipg(2, t) <= 1
[12, 12]: aipg(4, t) == 2
[13, 14]: aipg(4, t) == 2

### - Time: 247 Res: SAT
[4, 7]: aipg(2, t) <= 1
[4, 7]: aipg(4, t) >= 4
[8, 8]: aipg(2, t) <= 1
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) < 5t
[9, 11]: aipg(2, t) <= 1
[9, 11]: aipg(3, t) <= 1
[12, 12]: aipg(2, t) <= 1
[12, 12]: aipg(4, t) == 2
[13, 14]: aipg(4, t) == 2

### - Time: 248 Res: SAT
[4, 7]: aipg(2, t) <= 1
[4, 7]: aipg(3, t) <= 1
[4, 7]: aipg(4, t) >= 4
[8, 8]: aipg(3, t) <= 1
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) < 5t
[9, 11]: aipg(3, t) <= 1
[9, 11]: aipg(2, t) <= 1
[12, 12]: aipg(4, t) == 2
[12, 12]: aipg(2, t) <= 1
[13, 14]: aipg(4, t) == 2

### - Time: 246 Res: SAT
[4, 7]: aipg(2, t) <= 1
[4, 7]: aipg(4, t) >= 4
[4, 7]: aipg(0, t) <= 1
[8, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) < 5t
[9, 11]: aipg(2, t) <= 1
[12, 14]: aipg(4, t) == 2

### - Time: 199 Res: SAT
[4, 5]: aipg(0, t) <= 1
[4, 5]: aipg(2, t) <= 1
[4, 5]: aipg(4, t) >= 3
[6, 7]: aipg(0, t) <= 1
[6, 7]: aipg(4, t) >= 3
[6, 7]: aipg(2, t) <= 1
[6, 7]: aipg(4, t) >= 1
[8, 8]: aipg(4, t) >= 1
[9, 9]: aipg(4, t) >= 1
[9, 9]: aipg(2, t) <= 1

### - Time: 247 Res: SAT
[4, 5]: aipg(4, t) >= 3
[4, 5]: aipg(2, t) <= 1
[6, 7]: aipg(2, t) <= 1
[6, 7]: aipg(0, t) <= 1
[8, 8]: aipg(4, t) >= 1
[9, 9]: aipg(2, t) <= 1
[9, 9]: aipg(4, t) >= 1
[10, 14]: aipg(4, t) >= 1

### - Time: 241 Res: SAT
[4, 5]: aipg(2, t) <= 1
[4, 5]: aipg(4, t) >= 3
[6, 7]: aipg(2, t) <= 1
[6, 7]: aipg(0, t) <= 1
[8, 8]: aipg(4, t) >= 1
[9, 9]: aipg(2, t) <= 1
[10, 14]: aipg(4, t) >= 2

### - Time: 232 Res: SAT
[4, 5]: aipg(4, t) >= 3
[6, 8]: aipg(0, t) <= 1
[9, 14]: aipg(4, t) == 2

### - Time: 273 Res: SAT
[4, 6]: aipg(4, t) >= 3
[9, 14]: aipg(4, t) == 2

### - Time: 233 Res: SAT
[4, 6]: aipg(4, t) >= 4
[9, 14]: aipg(4, t) == 2

### - Time: 193 Res: SAT
[4, 7]: aipg(4, t) >= 4
[9, 14]: aipg(4, t) == 2

### - Time: 238 Res: SAT
[2, 6]: aipg(2, t) <= 2
[7, 8]: aipg(2, t) <= 2
[7, 8]: aipg(4, t) >= 3
[9, 9]: aipg(4, t) == 2
[13, 14]: aipg(4, t) == 2

### - Time: 233 Res: SAT
[2, 6]: aipg(2, t) <= 2
[7, 8]: aipg(2, t) <= 2
[7, 8]: aipg(4, t) >= 3
[7, 8]: aipg(2, t) <= 2
[9, 12]: aipg(4, t) == 2
[9, 12]: aipg(2, t) <= 2

### - Time: 236 Res: SAT
[3, 6]: aipg(1, t) <= 3
[7, 8]: aipg(1, t) <= 3
[7, 8]: aipg(4, t) >= 3
[9, 12]: aipg(4, t) == 2
[9, 12]: aipg(2, t) <= 2
[9, 12]: aipg(1, t) <= 3
[13, 13]: aipg(1, t) <= 3

### - Time: 232 Res: SAT
[4, 6]: aipg(0, t) <= 1
[7, 8]: aipg(0, t) <= 1
[7, 8]: aipg(4, t) >= 3
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(0, t) <= 1
[9, 11]: aipg(1, t) <= 3
[12, 12]: aipg(1, t) <= 3
[12, 12]: aipg(4, t) == 2

### - Time: 231 Res: SAT
[2, 6]: aipg(0, t) <= 1
[7, 8]: aipg(4, t) >= 3
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(1, t) <= 3
[12, 12]: aipg(4, t) == 2

### - Time: 237 Res: SAT
[2, 6]: aipg(3, t) <= 1
[7, 8]: aipg(4, t) >= 3
[9, 11]: aipg(4, t) == 2
[12, 14]: aipg(4, t) == 2

### - Time: 190 Res: SAT
[2, 3]: SUM_[q in {0, 1, 2, 3, 4, }] cenq(q ,t) > 4t
[7, 8]: aipg(4, t) >= 3
[9, 13]: aipg(4, t) == 2

### - Time: 188 Res: SAT
[2, 4]: SUM_[q in {1, 2, 3, 4, }] cenq(q ,t) > 3t
[7, 8]: aipg(4, t) >= 3
[9, 14]: aipg(4, t) == 2

### - Time: 232 Res: SAT
[2, 4]: SUM_[q in {1, 2, 3, 4, }] cenq(q ,t) > 3t
[7, 7]: aipg(4, t) >= 3
[8, 8]: aipg(4, t) >= 3
[8, 8]: aipg(2, t) <= 2
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(2, t) <= 2
[12, 14]: aipg(4, t) == 2

### - Time: 190 Res: SAT
[2, 2]: SUM_[q in {1, 2, 3, 4, }] cenq(q ,t) > 3t
[3, 7]: SUM_[q in {1, 2, 3, 4, }] cenq(q ,t) > 3t
[3, 7]: aipg(2, t) <= 1
[8, 8]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[9, 11]: aipg(2, t) <= 1
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(2, t) <= 2
[12, 14]: aipg(2, t) <= 2
[12, 14]: aipg(4, t) == 2

### - Time: 229 Res: SAT
[2, 2]: SUM_[q in {1, 2, 3, 4, }] cenq(q ,t) > 3t
[4, 7]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[9, 11]: aipg(4, t) == 2
[9, 11]: aipg(2, t) <= 2
[14, 14]: aipg(0, t) >= 1

### - Time: 230 Res: SAT
[1, 2]: SUM_[q in {0, 1, 2, 3, 4, }] cenq(q ,t) > 3t
[4, 7]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[14, 14]: aipg(0, t) == 1

### - Time: 192 Res: SAT
[1, 7]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(1, t) >= 1

### - Time: 232 Res: SAT
[1, 7]: aipg(2, t) <= 1
[8, 8]: aipg(4, t) >= 3
[14, 14]: aipg(0, t) == 1
[14, 14]: aipg(1, t) == 1

### - Time: 234 Res: SAT
[1, 7]: aipg(3, t) <= 1
[8, 8]: aipg(4, t) >= 3
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(0, t) == 1

### - Time: 228 Res: SAT
[1, 7]: aipg(3, t) <= 1
[8, 8]: aipg(4, t) >= 3
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(1, t) == 1

### - Time: 227 Res: SAT
[8, 8]: aipg(4, t) >= 3
[13, 13]: aipg(3, t) == 1
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(1, t) == 1

### - Time: 229 Res: SAT
[2, 7]: cenq(0, t) >= t
[8, 12]: cenq(0, t) >= t
[8, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[14, 14]: cenq(4, t) >= 4
[14, 14]: aipg(3, t) == 1

### - Time: 221 Res: SAT
[8, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[14, 14]: cenq(4, t) >= 5

### - Time: 228 Res: SAT
[8, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[13, 14]: cenq(4, t) >= 5
[14, 14]: cenq(4, t) >= 5

### - Time: 226 Res: SAT
[8, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[13, 14]: cenq(4, t) >= 5
[14, 14]: cenq(4, t) >= 5
[14, 14]: aipg(3, t) == 1

### - Time: 228 Res: SAT
[8, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[13, 14]: cenq(4, t) >= 5
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(3, t) == 1

### - Time: 188 Res: SAT
[4, 12]: aipg(4, t) >= 1
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(4, t) >= 1
[13, 14]: cenq(4, t) >= 5
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 1

### - Time: 228 Res: SAT
[4, 9]: aipg(4, t) >= 1
[10, 12]: aipg(4, t) >= 1
[10, 12]: aipg(1, t) <= 2
[13, 13]: aipg(1, t) <= 2
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(4, t) >= 1
[13, 14]: cenq(4, t) >= 5
[14, 14]: aipg(4, t) >= 1
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(1, t) <= 2

### - Time: 186 Res: SAT
[10, 12]: aipg(4, t) >= 1
[10, 12]: aipg(1, t) <= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(1, t) <= 2
[13, 14]: cenq(4, t) >= 5
[14, 14]: aipg(4, t) >= 1
[14, 14]: aipg(1, t) <= 2

### - Time: 228 Res: SAT
[10, 12]: aipg(1, t) <= 2
[10, 12]: aipg(4, t) >= 1
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(1, t) <= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(1, t) <= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 1

### - Time: 228 Res: SAT
[3, 9]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) > 3t
[10, 12]: aipg(4, t) >= 1
[10, 12]: aipg(1, t) <= 2
[13, 13]: aipg(1, t) <= 2
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 1
[14, 14]: aipg(1, t) <= 2

### - Time: 190 Res: SAT
[3, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) > 3t
[9, 9]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) > 3t
[9, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: aipg(1, t) <= 2
[13, 13]: aipg(3, t) == 1
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(1, t) <= 2
[14, 14]: aipg(4, t) >= 1

### - Time: 232 Res: SAT
[3, 8]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) > 3t
[9, 9]: SUM_[q in {0, 1, 2, 4, }] cenq(q ,t) > 3t
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[13, 13]: aipg(1, t) <= 2
[14, 14]: aipg(4, t) >= 1
[14, 14]: aipg(3, t) == 1
[14, 14]: aipg(1, t) <= 2
[14, 14]: cenq(4, t) == 5

### - Time: 230 Res: SAT
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(3, t) == 1
[14, 14]: aipg(1, t) == 1
[14, 14]: aipg(4, t) >= 1
[14, 14]: cenq(4, t) == 5

### - Time: 228 Res: SAT
[6, 13]: aipg(4, t) >= 1
[14, 14]: aipg(4, t) >= 1
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(1, t) == 1

### - Time: 189 Res: SAT
[6, 13]: aipg(4, t) >= 2
[14, 14]: aipg(4, t) >= 1
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(1, t) == 1

### - Time: 232 Res: SAT
[6, 13]: aipg(4, t) >= 2
[14, 14]: aipg(2, t) == 1
[14, 14]: aipg(4, t) >= 1
[14, 14]: cenq(4, t) == 5

### - Time: 190 Res: SAT
[8, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 1412 Res: SAT
[5, 7]: aipg(4, t) >= 2
[8, 12]: aipg(4, t) >= 2
[8, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1
[14, 14]: cenq(4, t) == 5

### - Time: 229 Res: SAT
[3, 7]: aipg(4, t) >= 2
[8, 12]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 236 Res: SAT
[3, 7]: aipg(4, t) >= 3
[8, 12]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 230 Res: SAT
[3, 7]: aipg(4, t) >= 4
[8, 12]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 233 Res: SAT
[2, 2]: aipg(4, t) >= 2
[3, 7]: aipg(4, t) >= 2
[3, 7]: aipg(4, t) >= 4
[8, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 192 Res: SAT
[2, 2]: aipg(4, t) >= 2
[3, 7]: aipg(4, t) >= 4
[3, 7]: aipg(4, t) >= 2
[8, 13]: aipg(4, t) >= 2
[8, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 2
[14, 14]: aipg(2, t) == 1

### - Time: 234 Res: SAT
[7, 7]: aipg(4, t) >= 4
[13, 13]: cenq(4, t) == 5
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 2
[14, 14]: aipg(2, t) == 1

### - Time: 189 Res: SAT
[7, 7]: aipg(4, t) >= 4
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 234 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 4
[7, 7]: aipg(4, t) >= 2
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(2, t) == 1
[14, 14]: cenq(4, t) == 5

### - Time: 1283 Res: UNSAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: aipg(2, t) == 1
[14, 14]: cenq(4, t) == 5

### - Time: 191 Res: SAT
[7, 7]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 1007 Res: UNSAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 236 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1
[14, 14]: cenq(4, t) == 5

### - Time: 188 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 233 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[14, 14]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 793 Res: UNSAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[14, 14]: aipg(2, t) == 1

### - Time: 1559 Res: UNSAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5

### - Time: 1496 Res: SAT
[4, 6]: aipg(4, t) >= 1
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2

### - Time: 230 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 1
[10, 12]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5
[13, 13]: aipg(4, t) >= 2

### - Time: 230 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 1
[13, 13]: aipg(4, t) >= 2
[13, 13]: cenq(4, t) == 5

### - Time: 231 Res: SAT
[4, 6]: aipg(4, t) >= 2
[7, 7]: aipg(4, t) >= 5
[8, 9]: aipg(4, t) >= 2
[10, 12]: aipg(4, t) >= 2
[13, 13]: aipg(4, t) >= 1
[13, 13]: cenq(4, t) == 5

